country_code,postal_code,town,state,latitude,longitude
MEX,20010,Aguascalientes,Aguascalientes,21.9644,-102.3192
MEX,20016,Aguascalientes,Aguascalientes,21.888,-102.3074
MEX,20018,Aguascalientes,Aguascalientes,21.9644,-102.3192
MEX,20020,Aguascalientes,Aguascalientes,21.783,-102.3333
MEX,20029,Aguascalientes,Aguascalientes,21.8376,-102.321
MEX,20030,Aguascalientes,Aguascalientes,21.8907,-102.3013
MEX,20040,Aguascalientes,Aguascalientes,21.892,-102.3036
MEX,20049,Aguascalientes,Aguascalientes,21.9725,-102.3114
MEX,20050,Aguascalientes,Aguascalientes,21.8061,-102.2804
MEX,20059,Aguascalientes,Aguascalientes,21.8197,-102.2364
MEX,20060,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20064,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20070,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20078,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20080,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20089,Aguascalientes,Aguascalientes,21.8734,-102.2806
MEX,20100,Aguascalientes,Aguascalientes,21.8912,-102.2913
MEX,20110,Aguascalientes,Aguascalientes,21.8484,-102.3247
MEX,20115,Aguascalientes,Aguascalientes,21.8542,-102.2175
MEX,20116,Aguascalientes,Aguascalientes,21.8807,-102.3585
MEX,20117,Aguascalientes,Aguascalientes,21.8484,-102.3247
MEX,20118,Aguascalientes,Aguascalientes,21.7458,-102.3303
MEX,20119,Aguascalientes,Aguascalientes,21.8484,-102.3247
MEX,20120,Aguascalientes,Aguascalientes,22.0161,-102.1909
MEX,20123,Aguascalientes,Aguascalientes,22.0161,-102.1909
MEX,20124,Aguascalientes,Aguascalientes,22.0161,-102.1909
MEX,20126,Aguascalientes,Aguascalientes,21.9266,-102.2597
MEX,20127,Aguascalientes,Aguascalientes,22.0161,-102.1909
MEX,20129,Aguascalientes,Aguascalientes,22.0161,-102.1909
MEX,20130,Aguascalientes,Aguascalientes,21.7806,-102.3478
MEX,20135,Aguascalientes,Aguascalientes,21.9564,-102.2842
MEX,20136,Aguascalientes,Aguascalientes,21.7089,-102.3528
MEX,20137,Aguascalientes,Aguascalientes,21.8636,-102.3244
MEX,20138,Aguascalientes,Aguascalientes,21.8636,-102.3244
MEX,20140,Aguascalientes,Aguascalientes,21.8443,-102.2682
MEX,20146,Aguascalientes,Aguascalientes,21.8115,-102.2957
MEX,20149,Aguascalientes,Aguascalientes,21.918,-102.2603
MEX,20150,Aguascalientes,Aguascalientes,21.8125,-102.3203
MEX,20157,Aguascalientes,Aguascalientes,21.9235,-102.2752
MEX,20158,Aguascalientes,Aguascalientes,21.8495,-102.3052
MEX,20159,Aguascalientes,Aguascalientes,21.8495,-102.3052
MEX,20160,Aguascalientes,Aguascalientes,21.7561,-102.305
MEX,20164,Aguascalientes,Aguascalientes,21.7561,-102.305
MEX,20169,Aguascalientes,Aguascalientes,21.7561,-102.305
MEX,20170,Aguascalientes,Aguascalientes,21.8066,-102.2016
MEX,20172,Aguascalientes,Aguascalientes,21.9222,-102.2375
MEX,20174,Aguascalientes,Aguascalientes,21.7883,-102.1242
MEX,20175,Aguascalientes,Aguascalientes,21.8996,-102.2112
MEX,20177,Aguascalientes,Aguascalientes,21.8996,-102.2112
MEX,20179,Aguascalientes,Aguascalientes,21.9186,-102.2668
MEX,20180,Aguascalientes,Aguascalientes,21.8963,-102.2672
MEX,20190,Aguascalientes,Aguascalientes,21.6858,-102.4515
MEX,20196,Aguascalientes,Aguascalientes,21.8747,-102.2544
MEX,20198,Aguascalientes,Aguascalientes,21.8614,-102.3127
MEX,20199,Aguascalientes,Aguascalientes,21.8614,-102.3127
MEX,20200,Aguascalientes,Aguascalientes,21.8249,-102.3275
MEX,20205,Aguascalientes,Aguascalientes,21.8287,-102.3265
MEX,20206,Aguascalientes,Aguascalientes,21.8442,-102.3225
MEX,20207,Aguascalientes,Aguascalientes,21.8287,-102.3265
MEX,20208,Aguascalientes,Aguascalientes,21.8287,-102.3265
MEX,20210,Aguascalientes,Aguascalientes,22.003,-102.1098
MEX,20216,Aguascalientes,Aguascalientes,22.003,-102.1098
MEX,20217,Aguascalientes,Aguascalientes,22.003,-102.1098
MEX,20218,Aguascalientes,Aguascalientes,21.8895,-102.2537
MEX,20219,Aguascalientes,Aguascalientes,21.9072,-102.2028
MEX,20220,Aguascalientes,Aguascalientes,21.8799,-102.208
MEX,20229,Aguascalientes,Aguascalientes,21.9483,-102.1202
MEX,20230,Aguascalientes,Aguascalientes,21.8142,-102.2
MEX,20234,Aguascalientes,Aguascalientes,21.8767,-102.1885
MEX,20235,Aguascalientes,Aguascalientes,21.8767,-102.1885
MEX,20236,Aguascalientes,Aguascalientes,21.8767,-102.1885
MEX,20237,Aguascalientes,Aguascalientes,21.9364,-102.2725
MEX,20238,Aguascalientes,Aguascalientes,21.8767,-102.1885
MEX,20239,Aguascalientes,Aguascalientes,21.8115,-102.2957
MEX,20240,Aguascalientes,Aguascalientes,21.8836,-102.4273
MEX,20247,Aguascalientes,Aguascalientes,22.0085,-102.4813
MEX,20248,Aguascalientes,Aguascalientes,22.0085,-102.4813
MEX,20249,Aguascalientes,Aguascalientes,21.8115,-102.2957
MEX,20250,Aguascalientes,Aguascalientes,21.8699,-102.3054
MEX,20255,Aguascalientes,Aguascalientes,22.0114,-102.2116
MEX,20256,Aguascalientes,Aguascalientes,22.0114,-102.2116
MEX,20257,Aguascalientes,Aguascalientes,21.8115,-102.2957
MEX,20259,Aguascalientes,Aguascalientes,21.9114,-102.2536
MEX,20260,Aguascalientes,Aguascalientes,21.8461,-102.2703
MEX,20263,Aguascalientes,Aguascalientes,21.8086,-102.2834
MEX,20264,Aguascalientes,Aguascalientes,21.8461,-102.2703
MEX,20265,Aguascalientes,Aguascalientes,21.8461,-102.2703
MEX,20266,Aguascalientes,Aguascalientes,21.784,-102.2268
