country_code,postal_code,town,state,latitude,longitude
MX,20010,Aguascalientes,Aguascalientes,21.9644,-102.3192
MX,20016,Aguascalientes,Aguascalientes,21.888,-102.3074
MX,20018,Aguascalientes,Aguascalientes,21.9644,-102.3192
MX,20020,Aguascalientes,Aguascalientes,21.783,-102.3333
MX,20029,Aguascalientes,Aguascalientes,21.8376,-102.321
MX,20030,Aguascalientes,Aguascalientes,21.8907,-102.3013
MX,20040,Aguascalientes,Aguascalientes,21.892,-102.3036
MX,20049,Aguascalientes,Aguascalientes,21.9725,-102.3114
MX,20050,Aguascalientes,Aguascalientes,21.8061,-102.2804
MX,20059,Aguascalientes,Aguascalientes,21.8197,-102.2364
MX,20060,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20064,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20070,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20078,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20080,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20089,Aguascalientes,Aguascalientes,21.8734,-102.2806
MX,20100,Aguascalientes,Aguascalientes,21.8912,-102.2913
MX,20110,Aguascalientes,Aguascalientes,21.8484,-102.3247
MX,20115,Aguascalientes,Aguascalientes,21.8542,-102.2175
MX,20116,Aguascalientes,Aguascalientes,21.8807,-102.3585
MX,20117,Aguascalientes,Aguascalientes,21.8484,-102.3247
MX,20118,Aguascalientes,Aguascalientes,21.7458,-102.3303
MX,20119,Aguascalientes,Aguascalientes,21.8484,-102.3247
MX,20120,Aguascalientes,Aguascalientes,22.0161,-102.1909
MX,20123,Aguascalientes,Aguascalientes,22.0161,-102.1909
MX,20124,Aguascalientes,Aguascalientes,22.0161,-102.1909
MX,20126,Aguascalientes,Aguascalientes,21.9266,-102.2597
MX,20127,Aguascalientes,Aguascalientes,22.0161,-102.1909
MX,20129,Aguascalientes,Aguascalientes,22.0161,-102.1909
MX,20130,Aguascalientes,Aguascalientes,21.7806,-102.3478
MX,20135,Aguascalientes,Aguascalientes,21.9564,-102.2842
MX,20136,Aguascalientes,Aguascalientes,21.7089,-102.3528
MX,20137,Aguascalientes,Aguascalientes,21.8636,-102.3244
MX,20138,Aguascalientes,Aguascalientes,21.8636,-102.3244
MX,20140,Aguascalientes,Aguascalientes,21.8443,-102.2682
MX,20146,Aguascalientes,Aguascalientes,21.8115,-102.2957
MX,20149,Aguascalientes,Aguascalientes,21.918,-102.2603
MX,20150,Aguascalientes,Aguascalientes,21.8125,-102.3203
MX,20157,Aguascalientes,Aguascalientes,21.9235,-102.2752
MX,20158,Aguascalientes,Aguascalientes,21.8495,-102.3052
MX,20159,Aguascalientes,Aguascalientes,21.8495,-102.3052
MX,20160,Aguascalientes,Aguascalientes,21.7561,-102.305
MX,20164,Aguascalientes,Aguascalientes,21.7561,-102.305
MX,20169,Aguascalientes,Aguascalientes,21.7561,-102.305
MX,20170,Aguascalientes,Aguascalientes,21.8066,-102.2016
MX,20172,Aguascalientes,Aguascalientes,21.9222,-102.2375
MX,20174,Aguascalientes,Aguascalientes,21.7883,-102.1242
MX,20175,Aguascalientes,Aguascalientes,21.8996,-102.2112
MX,20177,Aguascalientes,Aguascalientes,21.8996,-102.2112
MX,20179,Aguascalientes,Aguascalientes,21.9186,-102.2668
MX,20180,Aguascalientes,Aguascalientes,21.8963,-102.2672
MX,20190,Aguascalientes,Aguascalientes,21.6858,-102.4515
MX,20196,Aguascalientes,Aguascalientes,21.8747,-102.2544
MX,20198,Aguascalientes,Aguascalientes,21.8614,-102.3127
MX,20199,Aguascalientes,Aguascalientes,21.8614,-102.3127
MX,20200,Aguascalientes,Aguascalientes,21.8249,-102.3275
MX,20205,Aguascalientes,Aguascalientes,21.8287,-102.3265
