country_code,postal_code,latitude,longitude,region_id
che,1000,6.687,46.5535,VD::Lausanne::Lausanne 25||Lausanne 26||Lausanne 27
che,1003,6.63,46.52,VD::Lausanne::1003
che,1004,6.6187,46.5285,VD::Lausanne::1004
che,1005,6.6425,46.5199,VD::Lausanne::1005
che,1006,6.6371,46.5108,VD::Lausanne::1006
che,1007,6.6086,46.5178,VD::Lausanne::1007
che,1008,6.6027,46.5436,VD::Jouxtens-Mézery||Prilly
che,1009,6.662,46.5092,VD::Pully::1009
che,1010,6.6589,46.5361,VD::Lausanne::1010
che,1011,6.6429,46.5256,VD::Lausanne::1011
che,1012,6.6569,46.5263,VD::Lausanne::1012
che,1015,6.5741,46.5215,VD::Lausanne::1015
che,1018,6.6286,46.5387,VD::Lausanne::1018
che,1020,6.5907,46.5368,VD::Renens (VD)::Renens VD
che,1022,6.5763,46.5358,VD::Chavannes-près-Renens::1022
che,1023,6.5788,46.5562,VD::Crissier::1023
che,1024,6.562,46.5261,VD::Ecublens (VD)::Ecublens VD
che,1025,6.56,46.509,VD::Saint-Sulpice (VD)::St-Sulpice VD
che,1026,6.5407,46.5281,VD::Denges||Echandens
che,1027,6.5209,46.5265,VD::Lonay::1027
che,1028,6.5269,46.5184,VD::Préverenges::1028
che,1029,6.5606,46.5665,VD::Villars-Sainte-Croix::Villars-Ste-Croix
che,1030,6.5511,46.5532,VD::Bussigny::1030
che,1031,6.5523,46.5775,VD::Mex (VD)::Mex VD
che,1032,6.6061,46.5632,VD::Romanel-sur-Lausanne::1032
che,1033,6.605,46.5849,VD::Cheseaux-sur-Lausanne::1033
che,1034,6.5828,46.6037,VD::Boussens::1034
che,1035,6.5638,46.6038,VD::Bournens::1035
che,1036,6.5671,46.5943,VD::Sullens::1036
che,1037,6.6119,46.6001,VD::Etagnières::1037
che,1038,6.7085,46.6922,VD::Bercher::1038
che,1040,6.6226,46.6442,VD::Saint-Barthélemy (VD);Villars-le-Terroir;Echallens::Echallens||St-Barthélemy VD||Villars-le-Terroir
che,1041,6.6864,46.6404,VD::Poliez-Pittet;Montilliez;Bottens;Jorat-Menthue::Bottens||Poliez-Pittet||Dommartin||Naz||Poliez-le-Grand||Montaubion-Chardonney
che,1042,6.5991,46.6201,VD::Bettens||Assens||Bioley-Orjulaz
che,1043,6.6709,46.6555,VD::Montilliez::Sugnens
che,1044,6.6812,46.6761,VD::Fey::1044
che,1045,6.722,46.7111,VD::Ogens::1045
che,1046,6.6919,46.6934,VD::Rueyres::1046
che,1047,6.6925,46.7141,VD::Oppens::1047
che,1052,6.6361,46.5568,VD::Le Mont-sur-Lausanne::1052
che,1053,6.6418,46.591,VD::Bretigny-sur-Morrens;Cugy (VD)::Bretigny-sur-Morrens||Cugy VD
che,1054,6.6266,46.5912,VD::Morrens (VD)::Morrens VD
che,1055,6.6807,46.6018,VD::Froideville::1055
che,1058,6.7044,46.627,VD::Jorat-Menthue::Villars-Tiercelin
che,1059,6.7276,46.634,VD::Jorat-Menthue::Peney-le-Jorat
che,1061,6.7294,46.6473,VD::Jorat-Menthue::Villars-Mendraz
che,1062,6.7421,46.6555,VD::Jorat-Menthue::Sottens
che,1063,6.7285,46.6691,VD::Boulens;Montanaire::Boulens||Chapelle-sur-Moudon||Martherenges||Peyres-Possens
che,1066,6.6737,46.546,VD::Epalinges::1066
che,1068,6.6834,46.5342,VD::Pully::Les Monts-de-Pully
che,1070,6.7661,46.4939,VD::Puidoux::1070
che,1071,6.784,46.4773,VD::Rivaz;Saint-Saphorin (Lavaux);Chexbres::Chexbres||Rivaz||St-Saphorin (Lavaux)
che,1072,6.7698,46.5412,VD::Forel (Lavaux)::1072
che,1073,6.7417,46.5472,VD::Savigny::Savigny||Mollie-Margot
che,1076,6.7857,46.589,VD::Jorat-Mézières::Ferlens VD
che,1077,6.7853,46.5781,VD::Servion::1077
che,1078,6.7891,46.5624,VD::Essertes::1078
che,1080,6.7515,46.5732,VD::Servion::Les Cullayes
che,1081,6.7482,46.5842,VD::Montpreveyres::1081
che,1082,6.7415,46.6065,VD::Corcelles-le-Jorat::1082
che,1083,6.7712,46.5952,VD::Jorat-Mézières::Mézières VD
che,1084,6.7752,46.6048,VD::Jorat-Mézières::Carrouge VD
che,1085,6.7967,46.6217,VD::Vulliens::1085
che,1088,6.7517,46.615,VD::Ropraz::1088
che,1090,6.7027,46.5167,VD::Lutry::La Croix (Lutry)
che,1091,6.7185,46.4955,VD::Bourg-en-Lavaux::Grandvaux||Aran||Chenaux
che,1092,6.6804,46.5201,VD::Belmont-sur-Lausanne::1092
che,1093,6.6862,46.5149,VD::Lutry::La Conversion
che,1094,6.6723,46.506,VD::Paudex::1094
che,1095,6.6864,46.5027,VD::Lutry::1095
che,1096,6.72,46.4912,VD::Bourg-en-Lavaux::Cully||Villette (Lavaux)
che,1097,6.7357,46.4933,VD::Bourg-en-Lavaux::Riex
che,1098,6.7482,46.4911,VD::Bourg-en-Lavaux::Epesses
che,1110,6.5,46.5107,VD::Morges::1110
che,1112,6.4986,46.526,VD::Echichens::1112
che,1113,6.4876,46.5456,VD::Echichens::St-Saphorin-sur-Morges
che,1114,6.4755,46.5566,VD::Echichens::Colombier VD
che,1115,6.4812,46.5742,VD::Vullierens::1115
che,1116,6.4545,46.5726,VD::Cottens (VD)::Cottens VD
che,1117,6.4642,46.5917,VD::Grancy::1117
che,1121,6.5177,46.5467,VD::Bremblens::1121
che,1122,6.5116,46.5556,VD::Romanel-sur-Morges::1122
che,1123,6.5098,46.5677,VD::Aclens::1123
che,1124,6.5084,46.5852,VD::Gollion::1124
che,1125,6.479,46.5285,VD::Echichens::Monnaz
che,1126,6.4663,46.5365,VD::Vaux-sur-Morges::1126
che,1127,6.4503,46.5473,VD::Clarmont::1127
che,1128,6.4397,46.5424,VD::Reverolle::1128
che,1131,6.4739,46.5059,VD::Tolochenaz::1131
che,1132,6.4653,46.5059,VD::Lully (VD)::Lully VD
che,1134,6.474,46.5235,VD::Chigny||Vufflens-le-Château
che,1135,6.4568,46.519,VD::Denens::1135
che,1136,6.4426,46.5291,VD::Bussy-Chardonney::1136
che,1141,6.438,46.5759,VD::Sévery::1141
che,1142,6.4289,46.5816,VD::Pampigny::1142
che,1143,6.4286,46.5523,VD::Apples::1143
che,1144,6.3741,46.5547,VD::Ballens::1144
che,1145,6.3334,46.5382,VD::Bière::1145
che,1146,6.3632,46.5779,VD::Mollens (VD)::Mollens VD
che,1147,6.3769,46.6012,VD::Montricher::1147
che,1148,6.425,46.6291,VD::Chavannes-le-Veyron;Moiry;Cuarnens;Mauraz;L'Isle;Mont-la-Ville;La Praz::Chavannes-le-Veyron||Cuarnens||L'Isle||Villars-Bozon||La Coudre||Mauraz||Moiry VD||Mont-la-Ville||La Praz
che,1149,6.3366,46.5582,VD::Berolle::1149
che,1162,6.4582,46.4813,VD::Saint-Prex::St-Prex
che,1163,6.4206,46.4861,VD::Etoy::1163
che,1164,6.4212,46.4702,VD::Buchillon::1164
che,1165,6.3953,46.4708,VD::Allaman::1165
che,1166,6.3654,46.4676,VD::Perroy::1166
che,1167,6.4506,46.5037,VD::Lussy-sur-Morges::1167
che,1168,6.4286,46.5104,VD::Villars-sous-Yens::1168
che,1169,6.4172,46.5186,VD::Yens::1169
che,1170,6.3921,46.4967,VD::Aubonne::1170
che,1172,6.3541,46.4789,VD::Bougy-Villars::1172
che,1173,6.3699,46.4812,VD::Féchy::1173
che,1174,6.3568,46.4964,VD::Aubonne;Montherod::Pizy||Montherod
che,1175,6.4047,46.5005,VD::Lavigny::1175
che,1176,6.3867,46.5074,VD::Saint-Livres::St-Livres
che,1180,6.3256,46.4625,VD::Rolle||Tartegnin
che,1182,6.3003,46.4592,VD::Gilly::1182
che,1183,6.2899,46.4531,VD::Bursins::1183
che,1184,6.2758,46.4473,VD::Luins||Vinzel
che,1185,6.337,46.4709,VD::Mont-sur-Rolle::1185
che,1186,6.3179,46.4931,VD::Essertines-sur-Rolle::1186
che,1187,6.3091,46.4988,VD::Saint-Oyens::St-Oyens
che,1188,6.2861,46.5114,VD::Gimel;Saint-George::Gimel||St-George
che,1189,6.3303,46.5143,VD::Saubraz::1189
che,1195,6.2995,46.4339,VD::Bursinel||Dully
che,1196,6.2652,46.4237,VD::Gland::1196
che,1197,6.2499,46.3945,VD::Prangins::1197
che,1201,6.1442,46.2099,GE::Genève::1201
che,1202,6.1367,46.2214,GE::Genève::1202
che,1203,6.1236,46.2086,GE::Genève::1203
che,1204,6.1447,46.2017,GE::Genève::1204
che,1205,6.1436,46.1952,GE::Genève::1205
che,1206,6.1588,46.1872,GE::Genève::1206
che,1207,6.1631,46.2054,GE::Genève::1207
che,1208,6.1659,46.1994,GE::Genève::1208
che,1209,6.125,46.2219,GE::Genève::1209
che,1212,6.121,46.1824,GE::Lancy::Grand-Lancy
che,1213,6.1091,46.1856,GE::Onex;Lancy::Petit-Lancy||Onex
che,1214,6.0865,46.2153,GE::Vernier::1214
che,1215,6.1069,46.2352,GE::Le Grand-Saconnex::Genève
che,1216,6.1055,46.2244,GE::Meyrin::Cointrin
che,1217,6.0707,46.2283,GE::Meyrin::1217
che,1218,6.124,46.2324,GE::Le Grand-Saconnex::1218
che,1219,6.1015,46.2054,GE::Vernier::Le Lignon||Aïre||Châtelaine
che,1220,6.1089,46.2208,GE::Vernier::Les Avanchets
che,1222,6.1997,46.2375,GE::Collonge-Bellerive::Vésenaz
che,1223,6.1812,46.2163,GE::Cologny::1223
che,1224,6.1886,46.1977,GE::Chêne-Bougeries::1224
che,1225,6.1919,46.1937,GE::Chêne-Bourg::1225
che,1226,6.1987,46.1883,GE::Thônex::1226
che,1227,6.1363,46.1892,GE::Genève;Carouge (GE)::Carouge GE||Les Acacias
che,1228,6.1159,46.1681,GE::Plan-les-Ouates::1228
che,1231,6.1766,46.1844,GE::Chêne-Bougeries::Conches
che,1232,6.0845,46.174,GE::Confignon::1232
che,1233,6.0697,46.1737,GE::Bernex::1233
che,1234,6.1547,46.1723,GE::Veyrier::Vessy
che,1236,6.0172,46.1738,GE::Cartigny::1236
che,1237,6.0,46.1695,GE::Avully::1237
che,1239,6.1208,46.2707,GE::Collex-Bossy::Collex
che,1241,6.2324,46.2099,GE::Puplinge::1241
che,1242,6.0314,46.2182,GE::Satigny::1242
che,1243,6.2551,46.2189,GE::Presinge::1243
che,1244,6.2266,46.2281,GE::Choulex::1244
che,1245,6.204,46.2537,GE::Collonge-Bellerive::1245
che,1246,6.2262,46.2625,GE::Corsier (GE)::Corsier GE
che,1247,6.2229,46.2762,GE::Anières::1247
che,1248,6.2445,46.3014,GE::Hermance::1248
che,1251,6.2576,46.2525,GE::Gy::1251
che,1252,6.2342,46.2466,GE::Meinier::1252
che,1253,6.2026,46.2212,GE::Vandoeuvres::1253
che,1254,6.266,46.2354,GE::Jussy::1254
che,1255,6.1861,46.1668,GE::Veyrier::1255
che,1256,6.1485,46.1612,GE::Troinex::1256
che,1257,6.1364,46.1452,GE::Bardonnex::La Croix-de-Rozon
che,1258,6.0877,46.156,GE::Perly-Certoux::Perly
che,1260,6.238,46.3808,VD::Nyon::1260
