country_code,postal_code,town,province,latitude,longitude
ITA,67010,Barete,AQ,42.4501,13.2806
ITA,67012,Cagnano Amiterno,AQ,42.4608,13.2431
ITA,67013,Campotosto,AQ,42.5422,13.367
ITA,67014,Capitignano,AQ,42.5204,13.3012
ITA,67015,Montereale,AQ,42.5144,13.2299
ITA,67017,Marruci,AQ,42.4306,13.3097
ITA,67019,Vigliano,AQ,42.3618,13.2199
ITA,67020,Fagnano Alto,AQ,42.2472,13.6721
ITA,67021,Barisciano,AQ,42.3226,13.5654
ITA,67022,Capestrano,AQ,42.2681,13.7678
ITA,67023,Castel Del Monte,AQ,42.3654,13.7259
ITA,67024,Castelvecchio Subequo,AQ,42.1288,13.7287
ITA,67025,Ofena,AQ,42.3254,13.7586
ITA,67026,Poggio Picenze,AQ,42.3206,13.5404
ITA,67027,Raiano,AQ,42.1016,13.8139
ITA,67028,San Demetrio Ne' Vestini,AQ,42.2896,13.5552
ITA,67029,Secinaro,AQ,42.1506,13.6814
ITA,67030,Rocca Pia,AQ,41.95,13.9182
ITA,67031,Roccacinquemiglia,AQ,41.7981,14.1136
ITA,67032,Pescasseroli,AQ,41.8034,13.7871
ITA,67033,Pescocostanzo,AQ,41.8872,14.0661
ITA,67034,Pettorano Sul Gizio,AQ,41.9733,13.96
ITA,67035,Pratola Peligna,AQ,42.0949,13.8909
ITA,67036,Rivisondoli,AQ,41.8702,14.0667
ITA,67037,Roccaraso,AQ,41.8398,14.0773
ITA,67038,Frattura,AQ,41.9218,13.8737
ITA,67039,Abazia Di Sulmona,AQ,42.0386,13.92
ITA,67040,Ocre,AQ,42.1668,13.552
ITA,67041,Aielli Stazione,AQ,42.0727,13.588
ITA,67043,Celano,AQ,42.0808,13.517
ITA,67044,Cerchio,AQ,42.0636,13.6001
ITA,67045,Ville Di Lucoli,AQ,42.27,13.3733
ITA,67046,San Potito,AQ,42.1196,13.5137
ITA,67047,Rocca Di Cambio,AQ,42.2375,13.4891
ITA,67048,Rovere Di Rocca Di Mezzo,AQ,42.1853,13.5169
ITA,67049,San Nicola Di Tornimparte,AQ,42.2814,13.2804
ITA,67050,Canistro Superiore,AQ,41.9385,13.5013
ITA,67051,Santuario Di Pietracquaria,AQ,42.0457,13.4334
ITA,67052,Balsorano Nuovo,AQ,41.7984,13.5833
ITA,67053,Capistrello,AQ,41.9729,13.3814
ITA,67054,Civitella Roveto,AQ,41.901,13.4136
ITA,67055,Gioia Dei Marsi,AQ,41.957,13.6906
ITA,67056,Luco Dei Marsi,AQ,41.9593,13.4735
ITA,67057,Pescina,AQ,42.0073,13.6483
ITA,67058,San Benedetto Dei Marsi,AQ,42.0076,13.6238
ITA,67059,Trasacco,AQ,41.9574,13.5327
ITA,67060,Petrella Liri,AQ,42.0201,13.2696
ITA,67061,Villa Romana,AQ,42.1067,13.1076
ITA,67062,Rosciolo,AQ,42.1137,13.3288
ITA,67063,Civita,AQ,42.063,13.0419
ITA,67064,Pereto,AQ,42.0582,13.1023
ITA,67066,Rocca Di Botte,AQ,42.031,13.0718
ITA,67067,Santo Stefano Di Sante Marie,AQ,42.1135,13.226
ITA,67068,Cappelle Dei Marsi,AQ,42.065,13.3596
